loc searched,loc_url,lat,lon,name_only,address_only,pulse_address,loc_type,num_reviews,avg_review,temp_perm_closed,price_level,website,hours,phone_number,img_url,Service options,Highlights,Popular for,Accessibility,Offerings,Dining options,Amenities,Atmosphere,Crowd,Payments,Health & safety,Planning
"Tony's Place, 1400 Good Hope Rd SE, Washington, DC 20050","https://www.google.com/maps/place/Tony's+Place/@38.8669496,-76.9849187,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9b8f9697315:0x2a708ffcbf5877b8!8m2!3d38.8668317!4d-76.9849187",38.866831700000006,-76.98491870000001,Tony's Place,"1400 Good Hope Rd SE, Washington, DC 20050 ","V288+Q2 Washington, District of Columbia",Breakfast restaurant,299,4.0,,Inexpensive,tonysplacedc.com,"Tuesday, 6AM to 5:30PM; Wednesday, 6AM to 5:30PM; Thursday, 6AM to 5:30PM; Friday, 6AM to 5:30PM; Saturday, 6AM to 4PM; Sunday, Closed; Monday, 6AM to 5:30PM.",(202) 678-6633,https://lh5.googleusercontent.com/p/AF1QipOBQS_Z-WOHicWguJZ_UKmUsGRCUhAJ8FtzSXU5=w408-h725-k-no,"['Offers delivery', 'Offers takeout', 'No dine-in']",,"['Popular for breakfast', 'Good for solo dining']",['Has wheelchair accessible entrance'],"['Serves coffee', 'Serves comfort food', 'Quick bite', 'Serves small plates']",['Serves dessert'],,['Casual'],,['Accepts NFC mobile payments'],"['Mask required', 'Staff required to disinfect surfaces between visits']",['Usually has a wait']
"Tree Park, 1910 23rd St SE, Washington, DC 20020","https://www.google.com/maps/place/Tree+Park/@38.8655072,-76.9718493,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b93cbc732f6d:0xd2dc5a92a27b5c83!8m2!3d38.8655072!4d-76.9718493",38.8655072,-76.9718493,Tree Park,"1910 23rd St SE, Washington, DC 20020 ","V28H+67 Washington, District of Columbia",Park,,,,,,"Tuesday, 9AM to 5PM; Wednesday, 9AM to 5PM; Thursday, 9AM to 5PM; Friday, 9AM to 5PM; Saturday, 9AM to 3PM; Sunday, 9AM to 3PM; Monday, 9AM to 5PM.",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pJyL6ubllI3I4O79KyZZfA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=73.03631&pitch=0&thumbfov=100,,,,,,,,,,,,
"Turning Natural, 2025 Martin Luther King Jr Ave SE, Washington, DC 20020","https://www.google.com/maps/place/Turning+Natural/@38.8662954,-76.9893076,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9c73d8351eb:0x8c9aa9d227925ed3!8m2!3d38.8662954!4d-76.9893076",38.8662954,-76.98930759999999,Turning Natural,"2025 Martin Luther King Jr Ave SE, Washington, DC 20020 ","V286+G7 Washington, District of Columbia",Health food restaurant,225,4.5,,Moderate,turningnatural.com,"Tuesday, 9AM to 5PM; Wednesday, 9AM to 5PM; Thursday, 9AM to 5PM; Friday, 9AM to 5PM; Saturday, 9AM to 3PM; Sunday, 9AM to 3PM; Monday, 9AM to 5PM.",(202) 800-8828,https://lh5.googleusercontent.com/p/AF1QipNEppWUo0jwI3sbonM9S44sbAkF3524mi8ks1gI=w408-h544-k-no,"['Offers takeout', 'No delivery']",,"['Popular for lunch', 'Good for solo dining']",,"['Serves comfort food', 'Serves healthy options', 'Quick bite', 'Serves vegetarian options']",['Serves dessert'],['Good for kids'],"['Casual', 'Cozy']","['Popular with college students', 'Good for groups']",['Accepts NFC mobile payments'],"['Mask required', 'Staff required to disinfect surfaces between visits']",
"Unifest, 1247 W St SE, Washington, DC 20020","https://www.google.com/maps/place/Unifest/@38.8644704,-76.9883029,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9c0b16d8893:0xa74beae7ac092126!8m2!3d38.8645182!4d-76.9882904",38.864518200000006,-76.98829040000001,Unifest,"1247 W St SE, Washington, DC 20020 ","V276+QM Washington, District of Columbia",Social services organization,1,5.0,,,,"Tuesday, 8AM to 5PM; Wednesday, 8AM to 5PM; Thursday, 8AM to 5PM; Friday, 8AM to 5PM; Saturday, 10AM to 2PM; Sunday, Closed; Monday, 8AM to 5PM.",(202) 610-5757,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C09giNHkE01VsSGzYLHlrQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=198.8125&pitch=0&thumbfov=100,,,,,,,,,,,,
"Uniontown Bar & Grill, 2200 Martin Luther King Jr Ave SE, Washington, DC 20020","https://www.google.com/maps/place/Uniontown+Bar+%26+Grill/@38.864746,-76.989589,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9c0d1fbbc87:0x6f026ee76a6327d6!8m2!3d38.8647682!4d-76.9896905",38.8647682,-76.98969050000001,Uniontown Bar & Grill,"2200 Martin Luther King Jr Ave SE, Washington, DC 20020 ","V276+V5 Washington, District of Columbia",,,4.0,Permanently closed,,uniontowndc.com,"Tuesday, 11AM to 12AM; Wednesday, 11AM to 12AM; Thursday, 11AM to 12AM; Friday, 11AM to 2:30AM; Saturday, 11AM to 2:30AM; Sunday, 1PM to 12AM; Monday, 11AM to 12AM.",(202) 450-2536,https://lh5.googleusercontent.com/p/AF1QipO6tcBxn8kSMrc_NMO-fO6pKIntZZnHOiYoIi8g=w408-h306-k-no,['No delivery'],,,,['Serves alcohol'],,['Has restroom'],,,,,
"Waldorf Holiday Hoops Classic, 3401 4th St SE, Washington, DC 20032","https://www.google.com/maps/place/Waldorf+Holiday+Hoops+Classic/@38.8393559,-77.0014226,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7ba02f4a2f2f7:0x47e2610b2ebf3ac6!8m2!3d38.8393559!4d-77.0014226",38.8393559,-77.00142259999998,Waldorf Holiday Hoops Classic,"3401 4th St SE, Washington, DC 20032 ","RXQX+PC Washington, District of Columbia",Basketball club,,,,,,"Tuesday, 8AM to 5PM; Wednesday, 8AM to 5PM; Thursday, 8AM to 5PM; Friday, 8AM to 5PM; Saturday, 10AM to 2PM; Sunday, Closed; Monday, 8AM to 5PM.",(202) 645-3400,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3-lHOEq3yszVWC_RElJX7w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.16516&pitch=0&thumbfov=100,,,,,,,,,,,,
"Ward 8 Tennis Council, 718 Mississippi Ave SE, Washington, DC 20032","https://www.google.com/maps/place/Ward+8+Tennis+Council/@38.838819,-76.9951097,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7ba1d97cbb461:0x5dd0d008e5d83c9f!8m2!3d38.8387894!4d-76.9951073",38.838789399999996,-76.9951073,Ward 8 Tennis Council,"718 Mississippi Ave SE, Washington, DC 20032 ","R2Q3+GX Washington, District of Columbia",Tennis instructor,,,,,,"Tuesday, 8AM to 5PM; Wednesday, 8AM to 5PM; Thursday, 8AM to 5PM; Friday, 8AM to 5PM; Saturday, 10AM to 2PM; Sunday, Closed; Monday, 8AM to 5PM.",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tJosOhZzvUkoFmWFGVKgcA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=331.71188&pitch=0&thumbfov=100,,,,,,,,,,,,
"Washington DC Mental Health, 821 Howard Rd SE, Washington, DC 20020","https://www.google.com/maps/place/Washington+DC+Mental+Health/@38.863804,-76.998073,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9c325e1147b:0x9d62b9f66bc4aae9!8m2!3d38.8637829!4d-76.9980807",38.8637829,-76.9980807,Washington DC Mental Health,"821 Howard Rd SE, Washington, DC 20020 ","V272+GQ Washington, District of Columbia",Public health department,,,,,dbh.dc.gov,"Tuesday, 8AM to 5PM; Wednesday, 8AM to 5PM; Thursday, 8AM to 5PM; Friday, 8AM to 5PM; Saturday, 10AM to 2PM; Sunday, Closed; Monday, 8AM to 5PM.",(202) 698-1838,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=trkwCvfCXsaqqmzTbAQxKw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=344.14752&pitch=0&thumbfov=100,,,,,,,,,,,,
"Washington View Apartments, 2629 Douglass Rd SE, Washington, DC 20020","https://www.google.com/maps/place/Washington+View+Apartments/@38.8572689,-76.989251,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9eb03edfa83:0xb72259c1fc22a92d!8m2!3d38.8572689!4d-76.989251",38.8572689,-76.989251,Washington View Apartments,"2629 Douglass Rd SE, Washington, DC 20020 ","V246+W7 Washington, District of Columbia",Apartment building,78,3.6,,,washingtonviewapartments.com,"Tuesday, 8AM to 5PM; Wednesday, 8AM to 5PM; Thursday, 8AM to 5PM; Friday, 8AM to 5PM; Saturday, 10AM to 2PM; Sunday, Closed; Monday, 8AM to 5PM.",(202) 678-6467,https://lh5.googleusercontent.com/p/AF1QipOhnnl5ajU-h51bnmTU_-MTHE01jXSSV6RRf4sI=w408-h306-k-no,,,,,,,,,,,,
"WC Smith - Ridgecrest Village, 2000 Ridgecrest Ct SE, Washington, DC 20020","https://www.google.com/maps/place/WC+Smith+-+Ridgecrest+Village/@38.8478132,-76.9750336,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b98548fffb91:0xe4e2ca7509e25d58!8m2!3d38.8478171!4d-76.975036",38.8478171,-76.975036,WC Smith - Ridgecrest Village,"2000 Ridgecrest Ct SE, Washington, DC 20020 ","R2XF+4X Washington, District of Columbia",Apartment building,,,,,wcsmith.com,"Tuesday, 9AM to 5PM; Wednesday, 9AM to 5PM; Thursday, 9AM to 5PM; Friday, 9AM to 3PM; Saturday, Closed; Sunday, Closed; Monday, 9AM to 5PM.",(202) 889-1661,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Lru5ws5kSt9Z4eBZZoQxpg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=305.7983&pitch=0&thumbfov=100,,,,,,,,,,,,
"WC Smith - Shipley Park, 2532 Southern Ave SE, Washington, DC 20020","https://www.google.com/maps/place/WC+Smith+-+Shipley+Park/@38.8473548,-76.9685388,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b99cc98050a7:0xfa18ee4de0f9ecde!8m2!3d38.8473548!4d-76.9685388",38.8473548,-76.96853879999999,WC Smith - Shipley Park,"2532 Southern Ave SE, Washington, DC 20020 ","R2WJ+WH Washington, District of Columbia",Apartment building,15,3.5,,,shipleyparkapartments.com,"Tuesday, 9AM to 5PM; Wednesday, 9AM to 5PM; Thursday, 9AM to 5PM; Friday, 9AM to 3PM; Saturday, Closed; Sunday, Closed; Monday, 9AM to 5PM.",(202) 889-3629,https://lh5.googleusercontent.com/p/AF1QipMlqw_IQ_63FY2FSMtQ1UjbCU8BOd6oRBzJ5Z4i=w408-h240-k-no-pi-0.79212195-ya59.212654-ro-1.4533064-fo100,,,,,,,,,,,,
"Wheeler Terrace Apartments, 1217 Valley Ave SE, Washington, DC 20032","https://www.google.com/maps/place/Wheeler+Terrace+Apartments/@38.8372737,-76.98923,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7ba1faf181d13:0xd259a46ef9c79618!8m2!3d38.8372737!4d-76.98923",38.837273700000004,-76.98923,Wheeler Terrace Apartments,"1217 Valley Ave SE, Washington, DC 20032 ","R2P6+W8 Washington, District of Columbia",Apartment building,1,1.0,,,edgewoodmgmt.com,"Tuesday, 9AM to 5PM; Wednesday, 9AM to 5PM; Thursday, 9AM to 5PM; Friday, 9AM to 3PM; Saturday, Closed; Sunday, Closed; Monday, 9AM to 5PM.",(202) 561-7500,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=btPVRozwKRdqQeZ2LTn_Bg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=171.94962&pitch=0&thumbfov=100,,,,,,,,,,,,
"Z Mart And Food, 2323 Martin Luther King Jr Ave SE, Washington, DC 20020","https://www.google.com/maps/place/Z+Mart+And+Food/@38.8631974,-76.9920494,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9c17160ccf1:0xe21ea186a30b2497!8m2!3d38.8631674!4d-76.9920227",38.8631674,-76.9920227,Z Mart And Food,"2323 Martin Luther King Jr Ave SE, Washington, DC 20020 ","V275+75 Washington, District of Columbia",Restaurant,1,3.0,,,,"Tuesday, 11AM to 12AM; Wednesday, 11AM to 12AM; Thursday, 11AM to 12AM; Friday, 11AM to 2:30AM; Saturday, 11AM to 2:30AM; Sunday, 1PM to 12AM; Monday, 11AM to 12AM.",,https://lh5.googleusercontent.com/p/AF1QipMKT3jeAegi7ZlXscgMlcUWvr7ejkQS6reXdW9u=w408-h306-k-no,"['Offers takeout', 'No delivery']",,,,,,,['Casual'],,,,
